日期,Open,Close,High,Low,Volume,成交额,振幅,涨跌幅,涨跌额,换手率
2021-07-05,0.98,0.966,0.98,0.954,16691094,1613740032.0,2.71,0.84,0.008,12.95
2021-07-06,0.966,0.941,0.967,0.926,14180050,1335621136.0,4.24,-2.59,-0.025,11.0
2021-07-07,0.933,0.972,0.977,0.932,13306034,1282218928.0,4.78,3.29,0.031,10.33
2021-07-08,0.974,0.977,0.987,0.973,10743700,1052425424.0,1.44,0.51,0.005,8.34
2021-07-09,0.975,0.966,0.975,0.945,10655130,1022257488.0,3.07,-1.13,-0.011,8.27
2021-07-12,0.971,0.992,0.997,0.963,11309455,1117508784.0,3.52,2.69,0.026,8.78
2021-07-13,0.992,0.983,1.0,0.975,11193996,1101903264.0,2.52,-0.91,-0.009,8.69
2021-07-14,0.981,0.98,0.994,0.971,11668057,1151940832.0,2.34,-0.31,-0.003,9.05
2021-07-15,0.976,0.991,0.991,0.972,10947544,1075555520.0,1.94,1.12,0.011,8.5
2021-07-16,0.99,0.962,0.99,0.959,12581847,1225186784.0,3.13,-2.93,-0.029,9.76
2021-07-19,0.958,0.964,0.974,0.956,11663067,1125610816.0,1.87,0.21,0.002,9.05
2021-07-20,0.957,0.968,0.975,0.955,12122873,1170451088.0,2.07,0.41,0.004,9.41
2021-07-21,0.97,0.994,0.997,0.968,15764377,1552289088.0,3.0,2.69,0.026,12.23
2021-07-22,0.994,0.988,0.999,0.981,11087955,1094115040.0,1.81,-0.6,-0.006,8.6
2021-07-23,0.986,0.965,0.987,0.959,12280862,1188047136.0,2.83,-2.33,-0.023,9.53
2021-07-26,0.964,0.933,0.964,0.906,15818468,1477501056.0,6.01,-3.32,-0.032,12.27
2021-07-27,0.931,0.909,0.95,0.906,13937319,1302627760.0,4.72,-2.57,-0.024,10.82
2021-07-28,0.91,0.916,0.922,0.881,13314540,1207947984.0,4.51,0.77,0.007,10.33
2021-07-29,0.934,0.961,0.967,0.931,14052596,1334088448.0,3.93,4.91,0.045,10.9
2021-07-30,0.96,0.963,0.973,0.948,12037615,1156245600.0,2.6,0.21,0.002,9.34
2021-08-02,0.961,0.967,0.973,0.944,11707558,1122419024.0,3.01,0.42,0.004,9.08
2021-08-03,0.964,0.966,0.975,0.953,12554475,1209965680.0,2.28,-0.1,-0.001,9.74
2021-08-04,0.964,0.983,0.984,0.955,12702405,1237977584.0,3.0,1.76,0.017,9.86
2021-08-05,0.98,0.983,0.993,0.971,11279142,1107621808.0,2.24,0.0,0.0,8.75
2021-08-06,0.985,0.97,0.991,0.964,10199859,994920944.0,2.75,-1.32,-0.013,7.91
2021-08-09,0.965,0.96,0.965,0.946,12201033,1165108624.0,1.96,-1.03,-0.01,9.47
2021-08-10,0.956,0.961,0.965,0.949,12376159,1183684112.0,1.67,0.1,0.001,9.6
2021-08-11,0.957,0.949,0.962,0.947,10356450,986915152.0,1.56,-1.25,-0.012,8.04
2021-08-12,0.948,0.936,0.953,0.934,13011576,1223202032.0,2.0,-1.37,-0.013,10.1
2021-08-13,0.936,0.918,0.94,0.914,11511189,1064010608.0,2.78,-1.92,-0.018,8.93
2021-08-16,0.915,0.91,0.918,0.904,8986726,818273472.0,1.53,-0.87,-0.008,6.97
2021-08-17,0.91,0.886,0.915,0.882,11557691,1036870848.0,3.63,-2.64,-0.024,8.97
2021-08-18,0.89,0.886,0.896,0.881,9186466,815159872.0,1.69,0.0,0.0,7.13
2021-08-19,0.887,0.895,0.902,0.885,10561065,944126064.0,1.92,1.02,0.009,8.2
2021-08-20,0.893,0.869,0.893,0.859,11209290,977425552.0,3.8,-2.91,-0.026,8.7
2021-08-23,0.87,0.899,0.9,0.868,11786945,1048724400.0,3.68,3.45,0.03,9.15
2021-08-24,0.902,0.911,0.916,0.895,12565680,1143754352.0,2.34,1.33,0.012,9.75
2021-08-25,0.908,0.906,0.911,0.895,9392398,847057024.0,1.76,-0.55,-0.005,7.29
2021-08-26,0.906,0.881,0.911,0.88,12617424,1121961328.0,3.42,-2.76,-0.025,9.79
2021-08-27,0.881,0.878,0.894,0.875,9286905,819929584.0,2.16,-0.34,-0.003,7.21
2021-08-30,0.883,0.878,0.894,0.873,11000954,972505760.0,2.39,0.0,0.0,8.54
2021-08-31,0.876,0.855,0.88,0.851,13042641,1121583664.0,3.3,-2.62,-0.023,10.12
2021-09-01,0.858,0.856,0.862,0.84,11612259,987068016.0,2.57,0.12,0.001,9.01
2021-09-02,0.855,0.835,0.858,0.832,13415626,1126983392.0,3.04,-2.45,-0.021,10.41
2021-09-03,0.837,0.827,0.84,0.825,12955352,1077580960.0,1.8,-0.96,-0.008,10.05
2021-09-06,0.828,0.861,0.863,0.823,12443168,1060895616.0,4.84,4.11,0.034,9.66
2021-09-07,0.86,0.86,0.862,0.851,9856349,845444864.0,1.28,-0.12,-0.001,7.65
2021-09-08,0.86,0.848,0.866,0.847,11436514,976178944.0,2.21,-1.4,-0.012,8.87
2021-09-09,0.849,0.849,0.856,0.837,10298116,868468352.0,2.24,0.12,0.001,7.99
2021-09-10,0.849,0.855,0.856,0.837,10600964,898797264.0,2.24,0.71,0.006,8.23
2021-09-13,0.851,0.836,0.859,0.835,11342096,954534480.0,2.81,-2.22,-0.019,8.8
2021-09-14,0.838,0.849,0.857,0.837,11393361,969791456.0,2.39,1.56,0.013,8.84
2021-09-15,0.848,0.834,0.848,0.83,11393860,952411968.0,2.12,-1.77,-0.015,8.84
2021-09-16,0.837,0.822,0.837,0.822,11200124,925068432.0,1.8,-1.44,-0.012,8.69
2021-09-17,0.823,0.844,0.846,0.82,10405600,869013936.0,3.16,2.68,0.022,8.07
2021-09-22,0.835,0.84,0.85,0.832,8678312,730549440.0,2.13,-0.47,-0.004,6.73
2021-09-23,0.844,0.844,0.853,0.836,7825560,660948176.0,2.02,0.48,0.004,6.07
2021-09-24,0.843,0.852,0.864,0.841,11545390,987752576.0,2.73,0.95,0.008,8.96
2021-09-27,0.855,0.864,0.876,0.854,10141539,879632320.0,2.58,1.41,0.012,7.87
2021-09-28,0.86,0.857,0.874,0.854,7595770,654310720.0,2.31,-0.81,-0.007,5.89
2021-09-29,0.854,0.851,0.858,0.846,8334540,710138224.0,1.4,-0.7,-0.006,6.47
2021-09-30,0.851,0.864,0.866,0.851,7983217,686609920.0,1.76,1.53,0.013,6.19
